geoid,APPLIANCE,Adopt-A-Basket,Air Quality,Animal Abuse,Animal Facility - No Permit,Animal in a Park,Asbestos,BEST/Site Safety,Beach/Pool/Sauna Complaint,Bike Rack Condition,Bike/Roller/Skate Chronic,Blocked Driveway,Boilers,Bottled Water,Bridge Condition,Broken Muni Meter,Broken Parking Meter,Building Condition,Building/Use,Bus Stop Shelter Placement,CONSTRUCTION,Calorie Labeling,City Vehicle Placard Complaint,Collection Truck Noise,Construction,Consumer Complaint,Cranes and Derricks,Curb Condition,DOF Parking - Tax Exemption,DOF Property - Reduction Issue,DOOR/WINDOW,DPR Internal,Damaged Tree,Dead Tree,Derelict Bicycle,Derelict Vehicle,Derelict Vehicles,Dirty Conditions,Disorderly Youth,Drinking,Drinking Water,EAP Inspection - F59,ELECTRIC,ELEVATOR,Electrical,Elevator,Emergency Response Team (ERT),FLOORING/STAIRS,Fire Alarm - Addition,Fire Alarm - Modification,Fire Alarm - New System,Fire Alarm - Reinspection,Fire Alarm - Replacement,Fire Safety Director - F58,Food Establishment,Food Poisoning,For Hire Vehicle Complaint,For Hire Vehicle Report,Found Property,GENERAL,GENERAL CONSTRUCTION,Gas Station Discharge Lines,General Construction/Plumbing,Graffiti,HEAT/HOT WATER,HEATING,Harboring Bees/Wasps,Hazardous Materials,Hazmat Storage/Use,Highway Condition,Highway Sign - Damaged,Highway Sign - Dangling,Highway Sign - Missing,Homeless Encampment,Homeless Person Assistance,Illegal Animal Kept as Pet,Illegal Animal Sold,Illegal Fireworks,Illegal Parking,Illegal Tree Damage,Indoor Air Quality,Indoor Sewage,Industrial Waste,Investigations and Discipline (IAD),Lead,Legal Services Provider Complaint,Lifeguard,Literature Request,Litter Basket / Request,Maintenance or Facility,Miscellaneous Categories,Missed Collection (All Materials),Mold,Municipal Parking Facility,NONCONST,Noise,Noise - Commercial,Noise - Helicopter,Noise - House of Worship,Noise - Park,Noise - Street/Sidewalk,Noise - Vehicle,Non-Residential Heat,OUTSIDE BUILDING,Open Flame Permit,Other Enforcement,Overflowing Litter Baskets,Overflowing Recycling Baskets,Overgrown Tree/Branches,PAINT - PLASTER,PAINT/PLASTER,PLUMBING,Panhandling,Plant,Plumbing,Poison Ivy,Posting Advertisement,Public Assembly,Public Assembly - Temporary,Public Payphone Complaint,Public Toilet,Radioactive Material,Rangehood,Recycling Enforcement,Request Xmas Tree Collection,Rodent,Root/Sewer/Sidewalk Condition,SAFETY,SG-98,SG-99,Sanitation Condition,Scaffold Safety,School Maintenance,Senior Center Complaint,Sewer,Sidewalk Condition,Smoking,Snow,Special Enforcement,Special Natural Area District (SNAD),Special Projects Inspection Team (SPIT),Sprinkler - Mechanical,Squeegee,Stalled Sites,Standing Water,Standpipe - Mechanical,Street Condition,Street Light Condition,Street Sign - Damaged,Street Sign - Dangling,Street Sign - Missing,Sweeping/Inadequate,Sweeping/Missed,Tanning,Tattooing,Taxi Complaint,Taxi Report,Traffic,Traffic Signal Condition,Trans Fat,Transportation Provider Complaint,UNSANITARY CONDITION,Unleashed Dog,Unsanitary Animal Facility,Unsanitary Animal Pvt Property,Unsanitary Pigeon Condition,Urinating in Public,VACANT APARTMENT,Vacant Lot,Vending,Violation of Park Rules,WATER LEAK,Water Conservation,Water Quality,Water System,Window Guard,X-Ray Machine/Equipment
36061007700,4,0,32,1,0,2,5,1,0,1,2,4,1,0,0,27,0,0,12,0,0,0,0,0,0,6,1,0,0,2,5,1,6,9,10,3,0,16,0,1,1,0,14,0,3,1,0,5,0,0,0,0,0,0,11,3,4,0,1,8,2,0,55,2,62,49,0,4,0,0,0,0,0,8,6,0,0,0,37,9,13,2,1,0,3,0,0,0,5,8,0,32,2,0,1,152,249,7,5,4,57,11,0,1,0,1,8,0,5,6,27,22,0,0,2,0,0,0,0,0,0,0,0,0,0,37,2,1,0,0,21,0,0,0,16,14,4,11,3,0,15,0,0,0,1,0,62,13,1,0,3,0,3,0,0,56,1,5,19,0,0,21,0,0,0,0,0,0,0,3,2,7,0,3,49,0,0
36081054200,1,0,0,7,0,0,0,0,0,0,0,54,0,0,0,7,0,0,56,0,0,0,0,0,5,7,0,0,0,0,1,0,47,10,0,30,17,12,0,1,0,0,5,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,9,14,7,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,1,1,0,0,0,1,0,0,20,0,0,3,15,2,0,0,0,6,4,0,1,0,14,0,0,34,5,10,3,0,0,4,0,0,0,0,0,0,0,0,0,0,5,15,2,0,0,18,0,0,0,45,4,0,2,2,0,0,0,0,0,2,0,114,64,0,1,1,0,0,0,0,0,0,2,11,0,0,7,0,0,6,0,0,0,5,0,0,8,2,0,34,0,0
36047003500,2,0,2,1,0,0,1,0,0,0,0,7,0,0,0,11,0,0,10,0,0,0,0,0,0,14,0,0,0,0,6,0,4,2,1,1,1,8,0,0,0,2,1,0,0,15,0,2,0,0,0,1,0,2,8,6,7,0,0,17,0,0,26,1,30,7,0,0,0,0,0,0,0,7,29,0,0,0,15,1,0,0,0,0,2,0,0,0,2,1,0,6,0,0,0,25,54,4,1,0,13,7,0,1,0,1,1,0,4,0,9,4,0,0,7,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,6,0,0,0,4,3,0,8,1,0,1,0,0,0,0,0,35,39,1,0,5,1,0,0,0,28,0,28,50,0,0,0,0,0,0,0,0,0,6,1,0,9,2,0,22,0,0
36047025000,2,0,1,5,0,0,0,0,0,0,0,54,1,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,1,0,5,4,0,9,28,8,0,1,0,0,5,0,1,0,0,3,0,0,0,0,0,0,1,2,0,0,0,2,5,0,4,14,6,8,0,2,0,0,0,0,0,3,4,0,0,0,61,0,0,1,1,0,0,0,0,0,0,0,1,11,0,0,0,4,6,0,0,0,1,0,0,0,0,1,0,0,5,3,11,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,23,0,0,0,11,3,0,6,2,0,1,0,0,0,0,0,52,39,7,2,2,0,4,0,0,3,0,2,23,0,0,2,0,0,1,0,3,0,0,0,0,0,3,2,14,0,0
36081036100,10,0,1,5,0,0,0,0,0,0,0,59,1,0,0,0,0,0,39,0,1,0,0,0,4,6,0,0,0,0,15,0,23,3,0,6,6,7,0,0,0,0,9,0,0,0,0,15,0,0,0,1,0,0,3,0,1,0,0,21,10,0,10,1,29,19,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,5,4,5,0,0,0,12,3,0,0,0,0,1,0,6,2,31,22,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,5,0,0,14,0,0,0,6,0,0,1,2,0,0,0,0,0,1,0,36,28,3,0,0,0,1,0,0,3,0,0,9,0,0,15,1,0,0,0,0,0,1,0,0,11,1,0,8,0,0
36081101700,0,0,1,4,0,1,1,0,0,0,0,33,0,0,0,4,0,0,19,0,0,0,0,0,13,4,0,1,0,0,3,0,44,21,0,21,1,13,0,1,0,0,4,0,3,0,0,1,0,0,0,0,0,0,9,0,0,0,0,10,0,0,9,3,2,13,1,3,0,0,0,0,0,0,0,0,0,0,37,1,2,0,4,0,4,0,0,0,1,6,0,40,0,0,0,11,1,0,0,1,3,5,0,0,0,5,0,0,17,0,8,4,0,0,3,0,0,0,0,0,0,0,0,0,2,5,26,0,0,0,18,0,1,0,31,1,0,15,4,0,0,0,0,0,7,0,96,138,2,1,5,0,0,0,0,2,0,1,22,0,0,14,0,0,0,1,0,0,1,0,0,4,3,0,38,0,0
36047012901,2,0,1,1,0,0,0,0,0,0,0,41,0,0,0,14,1,0,3,0,0,0,0,0,0,10,0,0,0,0,12,0,4,2,0,6,3,21,0,1,0,0,7,0,1,0,0,4,0,0,0,0,0,0,11,3,3,0,0,6,4,0,16,13,1,5,0,0,0,0,0,0,0,1,9,0,0,0,80,2,1,1,0,0,2,0,0,0,15,1,0,7,0,0,1,19,72,3,2,0,11,6,0,5,0,2,0,0,9,1,12,9,0,0,2,0,0,0,0,0,0,0,0,0,0,20,15,4,0,0,14,0,3,0,10,0,0,12,3,0,3,0,0,0,2,0,55,15,2,0,2,2,5,0,0,9,0,1,18,0,0,14,0,0,0,0,0,0,0,0,0,13,1,0,9,0,0
36061012700,5,0,27,9,0,0,2,0,1,0,1,22,7,0,0,27,0,0,27,3,2,0,0,0,0,29,0,0,5,5,42,0,7,8,3,0,1,48,3,2,1,0,38,0,7,8,0,39,0,0,0,0,0,13,19,6,1,0,1,41,16,0,36,4,224,135,0,5,0,0,0,0,0,16,1,0,0,0,87,8,8,1,2,1,1,0,0,0,3,4,0,51,1,0,10,247,66,4,0,0,30,29,4,2,0,8,5,0,4,28,61,77,2,0,9,0,0,0,0,8,0,0,0,1,0,64,0,3,0,0,22,0,6,0,13,13,2,5,1,0,22,0,0,0,1,0,127,3,2,0,5,0,1,0,0,63,0,12,0,0,0,59,0,0,0,0,5,0,0,4,1,28,4,0,36,0,0
36081000400,7,0,0,6,0,0,0,0,0,0,0,112,0,0,0,0,0,0,56,0,0,0,0,0,20,6,0,2,0,0,2,0,14,7,0,14,36,14,0,0,0,0,16,0,3,0,0,5,0,0,0,0,0,0,1,2,0,0,0,14,3,0,11,5,31,20,0,0,0,0,0,0,0,0,0,0,0,1,39,3,0,3,2,0,2,0,0,0,0,0,0,14,0,0,3,6,5,0,1,0,9,8,2,0,0,1,0,0,20,2,13,7,0,0,4,0,0,0,0,0,0,0,0,0,0,5,10,1,0,0,24,0,0,0,24,3,0,2,0,0,0,0,0,0,0,0,44,19,2,3,3,0,0,0,0,1,0,2,19,0,0,13,1,0,1,0,0,0,0,1,0,8,5,0,15,0,0
36081045800,0,0,0,4,0,0,0,0,0,0,0,44,0,0,0,6,0,0,6,0,0,0,0,0,6,5,0,0,0,0,9,0,4,6,0,0,0,10,0,0,0,0,5,0,0,5,0,2,0,0,0,0,0,0,4,1,1,0,0,4,2,0,6,3,4,2,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,4,2,44,0,0,0,1,2,0,0,0,0,0,0,8,2,1,5,0,0,1,0,0,0,0,3,0,0,0,1,1,4,1,0,0,0,9,0,0,0,16,0,0,7,2,0,0,0,0,0,0,0,22,14,0,0,3,0,0,0,0,3,0,0,29,0,0,10,0,0,0,0,0,0,1,2,0,3,0,1,31,0,0
